RADICADO,FECHA ACCIDENTE,HORA ACCIDENTE,CLASE ACCIDENTE,GRAVEDAD,CLASIFICACIÓN,DIRECCION,BARRIO,AREA ACCIDENTE,ESTADO DELTIEMPO,No. VICTIMA PEATON,No. VICTIMA ACOMPANANTE,No. VICTIMA PASAJERO,No. VICTIMA CONDUCTOR,No. VICTIMA HERIDO,No. VICTIMA MUERTO
21195,02/21/2023 12:00:00 AM,5:10:00,Volcamiento,herido,Ciclista-Motociclista,autopista norte km 23 ruta 2510,Papelsa,Rural,Normal,0,0,0,1,1,0
21279,05/22/2023 12:00:00 AM,6:30:00,Choque,herido,Conductor,KM 7 +800 APROX,Papelsa,Rural,Normal,0,0,0,1,1,0
21280,05/27/2023 12:00:00 AM,16:30:00,Choque,herido,Ciclista-Motociclista,via medellin- los llanos km 31+050,Papelsa,Rural,Normal,0,1,0,1,2,0
21135,01/01/2023 12:00:00 AM,16:00:00,Choque,herido,Ciclista-Motociclista,via hatillo- pradera km 1+450,Papelsa,Rural,Normal,0,0,2,0,2,0
21160,01/22/2023 12:00:00 AM,9:35:00,Volcamiento,herido,Ciclista-Motociclista,2510 km 8 + 500,Esmeralda,Rural,Normal,0,0,1,1,2,0
21165,01/21/2023 12:00:00 AM,11:30:00,Choque,herido,Ciclista-Motociclista,2510 km 9+200,Papelsa,Rural,Normal,0,0,0,1,1,0
21197,02/19/2023 12:00:00 AM,10:40:00,Volcamiento,herido,Conductor,VEREDA LA LOMITA,Papelsa,Rural,Normal,0,1,0,0,1,0
21198,02/20/2023 12:00:00 AM,22:50:00,Choque,herido,Ciclista-Motociclista,LA ESE KM 32+500,Papelsa,Rural,Lluvia,0,1,0,0,1,0
21329,07/16/2023 12:00:00 AM,22:00:00,Choque,herido,Ciclista-Motociclista,PUERTO MULERO KM 21+00 RUTA 2510 BELLO HATILLO,Esmeralda,Rural,Lluvia,0,0,3,0,3,0
21330,07/16/2023 12:00:00 AM,17:50:00,Choque,herido,Ciclista-Motociclista,km 17 + 500 vereda lajas,Esmeralda,Rural,Normal,0,0,1,1,2,0
21411,10/23/2023 12:00:00 AM,9:50:00,Choque,herido,Ciclista-Motociclista,carrera 13 con calle 16,Papelsa,Urbana,Normal,0,0,1,0,1,0
21157,01/10/2023 12:00:00 AM,3:15:00,Volcamiento,herido,Ciclista-Motociclista,km 4 via platanito,Esmeralda,Rural,Normal,0,0,0,1,1,0
21158,01/20/2023 12:00:00 AM,14:36:00,Choque,herido,Ciclista-Motociclista,cr 13 #12-18,Esmeralda,Rural,Normal,0,0,1,0,1,0
21193,02/17/2023 12:00:00 AM,7:30:00,Caida Ocupante,muerte,Ciclista-Motociclista,sincorreales km 9+800,Papelsa,Rural,Lluvia,0,0,0,1,0,1
21384,09/16/2023 12:00:00 AM,5:30:00,Choque,herido,Ciclista-Motociclista,vivero km 11+ 200 recta el leon,Esmeralda,Rural,Viento,0,0,0,2,2,0
